name,isin,symbol
"SCHLUMBERGER   DL-,01",AN8068571086,SCL
AMAG AUSTRIA METALL INH.,AT00000AMAG3,AM8
FACC AG INH.AKT.,AT00000FACC2,1FC
AGRANA BET.AG INH.,AT0000603709,AGB1
RAIFFEISEN BK INTL INH.,AT0000606306,RAW
PORR AG,AT0000609607,ABS2
CA IMMOB.ANL.,AT0000641352,BZY
LENZING AG,AT0000644505,LEN
ERSTE GROUP BNK INH. O.N.,AT0000652011,EBO
S IMMO AG,AT0000652250,T1L
RHI AG,AT0000676903,RAD
CONWERT IMMOBILIEN INVEST,AT0000697750,COR
TELEKOM AUSTRIA AG,AT0000720008,TA1
ANDRITZ AG,AT0000730007,AZ2
OMV AG,AT0000743059,OMV
VERBUND AG       INH. A,AT0000746409,OEWA
SANOCHEM. PHARMAZEUTIKA,AT0000776307,SAC
FABASOFT AG,AT0000785407,FAA
IMMOFINANZ AG INH.,AT0000809058,IMO
DO + CO AG,AT0000818802,DOQ
KTM INDUSTRIES AG,AT0000820659,BFC
UNIQA INSURANCE GROUP AG,AT0000821103,UN9
WARIMPEX FIN.U.BETEIL. AG,AT0000827209,WFS
WIENERBERGER,AT0000831706,WIB
WOLFORD AG,AT0000834007,WOF
ZUMTOBEL GROUP AG INH. A,AT0000837307,T9Z
VIENNA INSURANCE GRP INH.,AT0000908504,WSV2
ROSENBAUER INTL,AT0000922554,ROI
VOESTALPINE AG,AT0000937503,VAS
SCHOELLER-BLECKMANN OILF.,AT0000946652,SLL
AT+S AUSTR.T.+SYSTEMT.,AT0000969985,AUS
POLYTEC HLDG AG INH. EO 1,AT0000A00XX9,P4N
PETRO WELT TECHNOLOGIE.AG,AT0000A00Y78,O2C
S+T AG (Z.REG.MK.Z.)O.N.,AT0000A0E9W5,SANT
OESTERREICH. POST AG,AT0000APOST4,O3P
KAPSCH TRAFFICCOM AG,AT000KAPSCH9,BZ6
BUWOG AG,AT00BUWOG001,BWO
ALTECH CHEMICALS LTD,AU000000ATC9,A3Y
"BHP BILLITON DL -,50",AU000000BHP4,BHP1
COMMONW.BK AUSTR.,AU000000CBA7,CWW
FIRST GRAPHITE LTD,AU000000FGR3,M11
KIBARAN RESOURCES LTD.,AU000000KNL2,FMK
LUCAPA DIAMOND CO. LTD.,AU000000LOM6,NHY
MUSTANG RES LTD,AU000000MUS8,GGY
OROCOBRE LTD,AU000000ORE0,3O1
PERSEUS MINING LTD.,AU000000PRU3,P4Q
"PSIVIDA CORP.CDIS/1DL-,01",AU000000PVA7,PV3
RIO TINTO LTD,AU000000RIO1,CRA1
SOUTH32 LTD,AU000000S320,32Z
SILVER LAKE RES. LTD,AU000000SLR6,4SL
WOODSIDE PET.,AU000000WPL2,WOPA
ORANGE BELGIUM S.A.,BE0003735496,MOS
AGFA-GEVAERT N.V.,BE0003755692,AGE
AGEAS SA/NV,BE0974264930,FO4N
ANHEUSER-BUSCH INBEV,BE0974293251,1NBA
APOLLO ENTERPRISE SOLUT.,BMG0410V2071,OAL
